ID,FNAME,DISTRICT_ID
MG11101001,1er Arrondissement,MG11101001A
MG11101002,2e Arrondissement,MG11101002A
MG11101003,3e Arrondissement,MG11101003A
MG11101004,4e Arrondissement,MG11101004A
MG11101005,5e Arrondissement,MG11101005A
MG11101006,6e Arrondissement,MG11101006A
MG11102010,Alasora,MG11102
MG11102039,Ankadikely Ilafy,MG11102
MG11102050,Ambohimanambola,MG11102
MG11102079,Sabotsy Namehana,MG11102
MG11102099,Ambohimangakely,MG11102
MG11102210,Manandriana,MG11102
MG11102230,Ambohimalaza Miray,MG11102
MG11102279,Fiaferana,MG11102
MG11102319,Ambohimanga Rova,MG11102
MG11102350,Viliahazo,MG11102
MG11102379,Talata Volonondry,MG11102
MG11102390,Anjeva Gara,MG11102
MG11102410,Masindray,MG11102
MG11102430,Ankadinandriana,MG11102
MG11103010,Ambohidratrimo,MG11103
MG11103030,Anosiala,MG11103
MG11103050,Talatamaty,MG11103
MG11103070,Antehiroka,MG11103
MG11103090,Iarinarivo,MG11103
MG11103111,Ivato Firaisana,MG11103
MG11103112,Ivato Aeroport,MG11103
MG11103130,Ambohitrimanjaka,MG11103
MG11103150,Mahitsy,MG11103
MG11103171,Merimandroso,MG11103
MG11103172,Ambatolampy,MG11103
MG11103190,Ampangabe,MG11103
MG11103210,Ampanotokana,MG11103
MG11103230,Mananjara,MG11103
MG11103251,Manjakavaradrano,MG11103
MG11103252,Antsahafilo,MG11103
MG11103270,Ambohimanjaka,MG11103
MG11103290,Fiadanana,MG11103
MG11103310,Mahabo,MG11103
MG11103330,Mahereza,MG11103
MG11103350,Antanetibe,MG11103
MG11103370,Ambohipihaonana,MG11103
MG11103390,Ambato,MG11103
MG11103410,Anjanadoria,MG11103
MG11103430,Avaratsena,MG11103
MG11104010,Ankazobe,MG11104
MG11104030,Talata Angavo,MG11104
MG11104050,Ambohitromby,MG11104
MG11104071,Antotohazo,MG11104
MG11104072,Marondry,MG11104
MG11104090,Fihaonana,MG11104
MG11104110,Mahavelona,MG11104
MG11104130,Fiadanana,MG11104
MG11104150,Tsaramasoandro,MG11104
MG11104170,Ambolotarakely,MG11104
MG11104190,Antakavana,MG11104
MG11104210,Kiangara,MG11104
MG11104230,Miantso,MG11104
MG11106011,Manjakandriana,MG11106
MG11106012,Ambatolaona,MG11106
MG11106030,Sambaina,MG11106
MG11106050,Ambohibary,MG11106
MG11106070,Ambatomanga,MG11106
MG11106090,Alarobia,MG11106
MG11106110,Mantasoa,MG11106
MG11106130,Ranovao,MG11106
MG11106150,Miadanandriana,MG11106
MG11106170,Nandihizana,MG11106
MG11106190,Anjepy,MG11106
MG11106210,Ambanitsena,MG11106
MG11106230,Ambohitrandriamanitra,MG11106
MG11106251,Ambatomena,MG11106
MG11106252,Ambohibao Sud,MG11106
MG11106271,Ambohitseheno,MG11106
MG11106272,Antsahalalina,MG11106
