ID,FNAME,COMMUNE_ID
MG11101001001,Antanimalalaka Analakely,MG11101001
MG11101001002,Ambalavao Isotry,MG11101001
MG11101001003,Ambatonakanga Ambohitsorohitra,MG11101001
MG11101001004,Ambatovinaky,MG11101001
MG11101001005,Soarano Ambondrona Ambodifilao,MG11101001
MG11101001006,Ampandrana Ankadivato,MG11101001
MG11101001007,Amparibe Ambohidahy Mahamasina,MG11101001
MG11101001008,Amboasarikely Ambatomena,MG11101001
MG11101001009,Anatihazo Isotry,MG11101001
MG11101001010,Andavamamba Anatihazo I,MG11101001
MG11101001011,Andavamamba Anatihazo II,MG11101001
MG11101001012,Andavamamba Anjezika I,MG11101001
MG11101001013,Andavamamba Anjezika II,MG11101001
MG11101001014,Andohatapenaka I,MG11101001
MG11101001015,Andohatapenaka II,MG11101001
MG11101001016,Andohatapenaka IIi,MG11101001
MG11101001017,Andranomanalina Afovoany,MG11101001
MG11101001018,Andranomanalina I,MG11101001
MG11101001019,Andranomanalina Isotry,MG11101001
MG11101001020,Ankasina,MG11101001
MG11101001021,Antetezanafovoany I,MG11101001
MG11101001022,Antetezanafovoany II,MG11101001
MG11101001023,Antohomadinika Afovoany,MG11101001
MG11101001024,Antohomadinika Atsimo,MG11101001
MG11101001025,Antohomadinika Avaratra Antani,MG11101001
MG11101001026,Antohomadinika Antsalovana Faa,MG11101001
MG11101001027,Antohomadinika IIig Hangar,MG11101001
MG11101001028,Avaratetezana Bekiraro,MG11101001
MG11101001029,Cite Ambodin'isotry,MG11101001
MG11101001030,Cite Ampefiloha,MG11101001
MG11101001031,67ha Afovoany Andrefana,MG11101001
MG11101001032,67ha Atsimo,MG11101001
MG11101001033,67ha Avaratra Andrefana,MG11101001
MG11101001034,67ha Avaratra Atsinanana,MG11101001
MG11101001035,Lalamby Sy Ny Manodidina,MG11101001
MG11101001036,Faravohitra Ambony,MG11101001
MG11101001037,Faravohitra Mandrosoa,MG11101001
MG11101001038,Isoraka Ampatsakana,MG11101001
MG11101001039,Fiata,MG11101001
MG11101001040,Manarintsoa Afovoany,MG11101001
MG11101001041,Manarintsoa Anatihazo,MG11101001
MG11101001042,Manarintsoa Atsinanana,MG11101001
MG11101001043,Manarintsoa Isotry,MG11101001
MG11101001044,Soarano Ambondrona Tsiazotafo,MG11101001
MG11101002001,Faliarivo Ambanidia,MG11101002
MG11101002002,Antanimora Ampasanimalo,MG11101002
MG11101002003,Antsahabe Ankorahotra Ankazoto,MG11101002
MG11101002004,Ambohitsiroa Vn,MG11101002
MG11101002005,Ankazotokana Ambony,MG11101002
MG11101002006,Tsiadana,MG11101002
MG11101002007,Volosarika Ambanidia,MG11101002
MG11101002008,Andafiavaratra Ambavahadimitaf,MG11101002
MG11101002009,Manjakamiadana Antsahondra AMB,MG11101002
MG11101002010,Ambatoroka,MG11101002
MG11101002011,Miandrarivo Ambanidia,MG11101002
MG11101002012,Ambolokandrina 5a,MG11101002
MG11101002013,Andohan'i Mandroseza Ambohibat,MG11101002
MG11101002014,Ambohipo Tanana Ampahateza And,MG11101002
MG11101002015,Ambohipotsy Ambohimitsimbina A,MG11101002
MG11101002016,Andohamandry,MG11101002
MG11101002017,Manakambahiny Ankerakely Ambat,MG11101002
MG11101002018,Ambohimiandra Fenomanana Antsa,MG11101002
MG11101002019,Mandroseza Afovoany Mandroseza,MG11101002
MG11101002020,Mahazoarivo Ambohidraserika,MG11101002
MG11101002021,Morarano Andrangaranga Ambatol,MG11101002
MG11101002022,Ambohitsoa Ankazolava Antanamb,MG11101002
